name,roast_num,aroma,acid,body,flavor,aftertaste,with_milk,rating
Ethiopia Dumerso Light Roast,3,9,8,8,9,8,1,92
Kenya AA Karamundi,2,9,8,8,9,8,1,92
Finca San Luis Colombia Espresso,2,9,1,9,9,8,8,93
Ethiopia Biftu Gundina Coop Espresso,4,9,1,9,9,8,9,94
Ethiopia Natural Sidamo Papilio,1,9,9,8,9,8,1,93
Thai Single-Origin Natural-Processed Espresso,2,9,1,8,9,8,8,92
Ethiopia Banko Gotiti Natural,1,9,9,8,9,9,1,94
Peru Finca Ecológica Agua Colorada,1,9,9,8,9,8,1,93
Love Letters,2,8,8,9,9,8,1,92
Throwback Blend,2,9,8,8,9,8,1,92
Costa Coast Blend,2,8,8,9,9,8,1,92
Canoe Blend,2,9,9,9,9,8,1,94
Dead Reckoning,2,9,9,8,9,8,1,93
Miami Winter,2,9,9,8,9,8,1,93
Wilderness Blend,1,9,9,8,9,8,1,93
Naturals With Attitude,2,9,8,9,9,8,1,93
Guatemala Retiro Natural Process,2,9,9,8,9,9,1,94
Gaitania Colombia,2,9,8,9,9,8,1,93
Rwanda Remera Kabeza,3,8,9,9,9,8,1,93
Dodora Double,1,9,9,9,10,9,1,96
Poas Red Honey,2,8,9,8,9,8,1,92
Lekali (Nepal),3,8,8,9,8,7,1,90
Costa Rica Tarrazu,2,9,8,8,8,8,1,91
Decaf Espresso,2,8,1,8,8,7,8,89
Summer Night Blend Espresso,2,9,1,9,9,8,9,94
Ethiopia Reko,2,9,8,9,9,7,1,92
Sumatra Tano Batak,3,9,7,8,9,9,1,92
Kenya Kirinyaga,1,9,9,9,9,8,1,94
Ethiopia,2,9,8,9,9,8,1,93
Ethiopia Guji Deri Korcha White Honey,1,8,9,9,9,8,1,93
Nicaragua Finca Libre,2,8,8,9,9,8,1,92
Congo Kivu,4,9,8,8,9,8,1,92
Three Queens Blend,2,9,9,9,9,8,1,94
Sumatra Mutu Batak,3,9,9,9,9,8,1,94
Rwanda Bufcafe Remera,3,8,8,9,9,8,1,92
Kiniyota Burundi,2,9,9,9,9,9,1,95
Sumatra Mandheling,2,9,8,8,9,8,1,92
Kona Mocca®,3,9,9,9,9,9,1,95
Ethiopia Suke Quto Honey,2,9,9,9,9,8,1,94
Ethiopia Worka Natural,2,9,8,9,9,8,1,93
Ecuador Pichincha Typica,2,9,9,8,9,8,1,93
Kenya Ndnunduri,2,9,8,9,9,8,1,93
Ethiopia Gedeb Gotiti,1,9,9,8,9,8,1,93
Yemen Port of Mokha Al-Durrar,2,9,8,9,9,9,1,94
Sumatra Tano Batak,2,9,9,9,9,8,1,94
Sumatra Tano Batak,2,9,9,9,9,8,1,94
Kenya Gura AA,2,9,9,9,9,8,1,94
Finca La Maria Geisha Natural,2,9,9,9,9,9,1,95
Ethiopia Guji Gigessa,1,9,9,9,9,8,1,94
Granja La Esperanza Sudan Rume Natural,3,9,9,9,9,9,1,95
Gedeb Espresso,2,9,1,8,9,9,9,94
Gaitania Espresso,2,9,1,9,9,8,8,93
Indonesia Flores Island,1,9,8,8,9,8,1,92
Panama Baru Geisha Honey by Joseph,2,9,9,9,9,8,1,94
Ethiopia Sidamo Shakiso Danbi Uddo Mulish Natural G1,2,9,8,8,9,8,1,92
Panama Baru Geisha Natural by Joseph,2,1,1,1,1,1,1,94
Static Indonesia Toarco Sulawesi,2,8,8,9,9,7,1,91
Burundi Buhorwa,2,9,9,9,9,8,1,94
Warrior in the Forest Blend,2,9,8,8,9,8,1,92
COE Brazil Naturals 2017 Sitio Esperanza 7th place,2,9,8,9,9,7,1,92
Icamiabas Fazenda Klem Catuaí Natural,2,9,8,8,9,8,1,92
Brazil Chapada Diamantina Fazenda Floresta,2,8,8,9,9,8,1,92
Tumba Rwanda,1,9,9,9,9,7,1,93
Mandheling Onan Ganjang,2,9,9,9,9,8,1,94
Burundi Nemba,2,9,8,9,9,8,1,93
Static Peru Cajamarca,2,8,8,8,8,7,1,89
Ethiopia Banko Gotiti Natural,1,9,9,9,9,8,1,94
Espresso Blend,4,9,1,8,8,7,8,90
Flight Seasonal Espresso,2,9,1,8,9,8,9,93
Yemen Microlot,1,9,9,9,10,9,1,96
Lycello by Ninety Plus,2,9,9,9,9,9,1,95
Lotus by Ninety Plus,2,9,9,9,9,9,1,95
Guji Allona Ethiopia Natural,2,9,9,8,9,8,1,93
Monteverde Costa Rica,2,9,8,9,9,8,1,93
Kenya Nyeri Gatugi Peaberry,3,9,9,9,9,8,1,94
Karen J Red Bourbon,2,9,9,9,9,8,1,94
Ethiopia Yirgacheffe Koke,2,9,8,9,9,8,1,93
Ka’u Oro Yeast Typica,2,9,8,9,9,8,1,93
Gedeb Yirgacheffe Ethiopia,2,9,8,9,9,8,1,93
DR Congo FTO Bourbon SOPACDI,2,9,9,9,9,8,1,94
Mahonda Burundi,2,9,9,8,9,8,1,93
Signature Hazelnut Dark Chocolate,3,9,1,8,9,8,9,93
Signature Floral Orange,2,9,1,8,9,7,9,92
El Salvador,2,9,8,9,9,8,1,93
Kiniyota Espresso,2,9,1,9,9,9,9,95
Guardian Spirit Espresso Blend,2,9,1,8,9,8,9,93
Kenya Nyeri Rumukia Peaberry,3,9,8,8,9,8,1,92
Kenya Nyeri Karuthi AA,2,9,8,8,9,8,1,92
El Obraje Geisha,2,9,9,9,9,9,1,95
Burundi,2,8,8,8,9,8,1,91
Mirador Colombia,2,9,8,8,9,8,1,92
Kenya Kirinyaga Mukangu AB,2,8,9,8,9,8,1,92
Brazil Carmo de Minas Natural,2,8,8,8,9,8,1,91
Brazil Pulped Natural,2,8,8,8,9,8,1,91
Minas Gerais Isaias Ferreira No. 2,2,8,8,8,9,8,1,91
Brasil Ipanema Premier Cru Gold B69 Natural,2,9,8,7,8,8,1,90
Brazil Fazenda São Bento,2,9,9,8,9,8,1,93
Fazenda Recreio Bourbon Pulped Natural,2,9,8,9,9,8,1,93
Brazil Ouro de Minas Pulped Natural,2,8,8,9,9,8,1,92
Secret Beach Summer Blend,7,1,8,8,9,7,8,90
Taurus Earth Espresso,3,8,1,9,8,8,9,92
Ethiopia Natural Yirgacheffe Adado Shara,2,9,9,9,9,7,1,93
No. 7 Espresso Blend,3,9,1,9,9,9,9,95
Kenya Embu Uteuzi Jimbo,2,9,9,9,9,8,1,94
Ethiopia Dumerso,2,9,8,9,9,8,1,93
Sumatra Batak Naga Saribu,2,9,8,9,9,8,1,93
Replay Espresso,2,9,1,8,8,9,8,92
Burundi Gaharo Hill Long Miles Coffee Project Natural,2,9,8,9,9,7,1,92
Kiniyota Burundi,1,9,9,8,9,7,1,92
Burundi Gahahe Washing Station Microlot Honey,2,9,8,8,9,8,1,92
Rwanda Cyato,2,8,8,8,8,8,1,90
Rwanda Hingakawa Women’s Co-op Fair Trade,2,8,8,9,8,7,1,90
Uganda Kapchorwa,2,8,8,8,9,7,1,90
Burundi Gitwe Natural Bourbon,2,9,9,8,9,8,1,93
Gahahe Burundi Natural,2,9,9,8,9,8,1,93
Winer,2,9,8,8,9,8,1,92
Burundi Long Miles Coffee Project Natural,2,9,8,9,9,8,1,92
Long Miles Coffee Project Nkonge Hill Burundi Red Honey,2,9,8,8,9,8,1,92
Tarime Tanzania,2,9,9,9,9,9,1,95
Burundi Nkonge Hill Red Honey,3,9,8,9,9,8,1,93
Ethiopia Kayon Mountain,1,9,9,9,9,8,1,94
Tano Batak Sumatra,2,9,9,9,9,8,1,94
Flight Espresso,2,9,1,8,9,9,8,93
Zambia AAA/AA,3,8,8,9,8,7,1,90
Sumatra Batak Naga Saribu M-Plus,3,9,9,8,9,8,1,93
Ethiopia Guji Natural Dasaya G1,1,9,8,9,9,8,1,93
Dandelion Espresso Blend,2,9,1,8,8,7,8,90
Choice Caramel Dried Prune,2,8,1,8,9,8,8,91
Espresso Blend,2,9,1,8,8,8,9,92
Reserve Cold Brew,7,1,8,9,9,9,9,94
Single Origin Ethiopia,7,1,8,8,9,9,9,93
Cold Brew,7,1,9,8,9,8,9,93
Black House Blend Cold Brew,7,1,8,9,9,8,9,93
Cold Brew,7,1,8,9,9,8,9,93
Baridi Black Cold Brew,7,1,8,8,9,9,8,92
Cold Brew,7,1,8,8,9,8,9,92
F-Bomb,7,1,8,9,9,8,9,93
Cold Pressed Coffee,7,1,8,8,9,8,8,91
Cold Brew,7,1,8,8,8,8,8,90
El Salvador Loma La Gloria Natural (Espresso),2,8,1,8,9,8,9,92
Brazil Fazenda Sertãozinho,3,8,1,8,8,8,9,91
Natural Sidamo Twakok G1,1,9,1,9,9,8,9,94
Costa Rica Cumbres Del Poas “Perla Negra” Natural,2,9,1,9,9,8,9,94
Ethiospro Blend,2,9,1,9,9,8,9,94
Ethiopia Gede Natural,2,9,1,8,9,8,9,93
Gesha Village Lot #25,2,9,1,9,9,8,10,95
YCFCU Banko Gotiti Coop G1,4,9,1,9,9,9,9,95
Yemen Haraaz,2,9,1,9,9,8,9,94
Costa Rica Perla Negra,3,9,1,9,9,9,9,95
Espresso 1849 Blend,3,9,1,9,9,8,9,94
Ethiopia Deri Kochoha,2,8,9,9,9,8,1,93
Guatemala Finca Las Terrazas,2,9,9,8,9,8,1,93
Suyusama Program Colombia,2,8,9,9,9,8,1,93
Static Peru Valle de Chingama Peru,2,9,8,9,9,7,1,92
Static Chirinos Peru,2,8,8,8,9,7,1,90
Kenya Muranga Gondo,2,9,9,8,9,8,1,93
Costa Rica Esteban Zamora,2,8,8,8,9,8,1,91
El Salvador Loma La GLoria Natural,2,9,9,8,9,8,1,93
Kenya,3,9,8,8,9,8,1,92
Via Instant Colombia Medium Roast (Instant Coffee),1,4,2,6,3,2,1,67
Finca El Socorro Maracaturra,2,9,9,9,9,9,1,95
Ethiopia Kochere Debo Washed Gellana,2,9,9,8,9,9,1,94
Guatemala Huehuetenango Miralvalle Washed,3,9,8,8,9,8,1,92
Ethiopia Gotiti Natural,3,9,9,9,9,9,1,95
Ethiopia Kayon Mountain Natural,2,9,9,8,9,8,1,93
Colombia Jairo Alcaraz,3,9,8,9,9,8,1,92
Cream Tabby Espresso Blend,2,9,1,9,9,8,9,94
Esmeralda Estate Panama Geisha,7,9,1,8,9,9,9,94
Brazil Cup of Excellence Prize Winner,3,8,1,8,9,8,9,92
Ethiopia Girma Eshetu,2,9,9,9,9,8,1,94
Organic Dulce de Guatemala,2,9,8,9,9,8,1,93
Ethiopia Yirgacheffe Natural Grade 1,2,9,8,8,9,8,1,92
Red Bourbon Honey Cold Brew Coffee,1,1,9,8,9,9,9,94
Karimikui Espresso,2,9,1,9,9,9,9,94
Colombia Finca La Ilusion Rosevel Ortiz Escarpeta Natural Espresso,2,8,1,8,9,8,9,92
Guatemala Finca El Limonar Hugo Chavez Mendez,2,8,9,8,9,8,1,92
Colombia Finca La Loma Antonio Gualguan,2,9,8,8,8,8,1,91
