name,roast_num,aroma,acid,body,flavor,aftertaste,with_milk,rating
Colombia La Guamera Honey,2,9,8,8,9,8,1,92
Moonbow Decaf Espresso,4,8,1,8,8,8,9,91
Ethiopia Yirgacheffe,3,8,8,9,8,8,1,91
Rwanda Mushonyi Natural,2,9,9,9,9,8,1,94
Rwanda Mushonyi,2,8,8,8,9,8,1,91
Ethiopia Washed Kochere,2,9,8,8,9,8,1,92
Feku Double,2,9,9,8,9,8,1,93
Ethiopia Tadese Yonka,2,9,8,9,9,8,1,93
Nano Challa Ethiopia,2,9,8,9,9,8,1,93
Colombia La Cabana,2,9,8,8,9,8,1,92
Kenya AB,3,9,9,9,9,8,1,94
Ethiopia Hambela Natural Organic,2,9,9,9,9,8,1,94
Tanzania Ngorongoro Ridge Peaberry,2,9,9,9,9,9,1,95
Ecuador Los Eucaliptos,2,9,8,9,9,8,1,93
Ecuador Pichincha Typica,2,9,9,8,9,8,1,93
Ecuador Finca Carolina Fausto Romo,2,9,8,9,9,8,1,93
Bolivia Yungas Caranavi Alasitas Geisha Natural,1,9,8,9,9,8,1,93
Geisha Pasco Oxapampa Peru,2,9,8,8,9,8,1,92
Finca Tasta Peru,2,9,9,8,9,8,1,93
Peru La Salina,2,9,9,8,9,8,1,93
Bolivia Yungas Caranavi Finca Las Alasitas Peaberry,2,8,8,8,9,8,1,91
Ethiopia Hambela Alaka,2,9,9,8,9,8,1,93
100% Kona Bourbon,2,9,8,9,9,8,1,93
Kona Naturals,2,9,8,8,9,8,1,92
Rwanda Rulindo Tumba,2,8,8,8,9,8,1,91
Guatemala Quejina,2,9,8,8,9,8,1,92
Flight Seasonal Espresso,2,9,1,9,9,8,9,94
Costa Rica Las Lajas Black Honey,2,9,8,9,9,8,1,93
Eaagads Estate Kenya,2,9,9,9,9,8,1,94
Ethiopia Guji,2,9,9,9,9,8,1,94
California Grown,2,9,8,8,9,8,1,92
Ethiopia Yirgacheffe G1,1,9,9,9,9,8,1,94
Kenya Karindundu AA Small Lot Reserve,2,10,9,9,10,9,1,97
Sumatra Aceh Gayo Mountain Kenawat Raisin Honey,2,9,8,9,9,8,1,93
Ketiara Sumatra,1,9,8,8,9,8,1,92
Sumatra Lintong,3,9,9,9,9,9,1,95
Ethiopia Natural Guji Hambela G1 Bishan Fugu,2,9,9,9,9,9,1,95
Tanzania Tarime AB,2,9,9,9,9,8,1,94
El Salvador Cerro Las Ranas Honey Espresso,2,9,1,9,9,8,9,94
Blossom Single Origin Espresso,2,9,1,8,9,8,9,93
Panama Baru Geisha Black,2,9,9,9,9,8,1,94
Kenya Safari AB Top,3,9,8,9,9,8,1,93
No. 79 Blend Espresso,3,9,1,8,9,8,8,92
Colombia Monteblanco Purple Caturra Natural,1,8,8,8,8,8,1,90
Brazil Para Ela Natural,2,9,9,8,9,8,1,93
Tumba Rwanda,2,9,8,8,9,8,1,92
Ethiopia Harrar,4,8,8,9,9,7,1,91
KonAroma Direct Trade Kona,3,8,8,8,8,8,1,90
Mellower Blend,2,9,8,8,9,8,1,92
Espresso Blend,3,8,1,8,8,8,9,91
Peru Chirinois,2,9,8,8,9,8,1,92
Ecuador Finca La Papaya,2,9,8,8,9,8,1,92
Peru Natural Utcubamba,2,8,8,8,9,8,1,91
Kenya Murang’a Githiga AA,2,9,9,8,9,9,1,94
Borneo Sabah Arabica,2,8,7,9,9,7,1,90
Colombia,3,8,8,8,9,7,1,90
D.R. Congo Muungano Co-Op,2,9,8,9,9,7,1,92
No. 6 Espresso Blend,3,9,1,8,9,8,8,92
Ethiopia Sidama Shantewene,2,9,9,9,9,9,1,95
Kivu Belt Lot 32 Espresso,2,9,1,8,9,8,9,93
Kivu Belt Lot 32 Rwanda,2,8,8,9,9,8,1,92
Gesha Rebecca Natural,2,9,9,9,9,9,1,95
Easter Sunrise Blend,4,9,8,8,9,8,1,92
Tade GG Ethiopia Red Cherry,2,9,9,8,9,8,1,93
Bufcafe Rwanda,2,8,8,8,8,8,1,90
Café Granja La Esperanza Sudan Rume Natural,3,9,8,9,10,9,1,95
La Papaya Ecuador,2,9,7,9,9,8,1,92
Aponte Colombia,2,8,8,8,9,7,1,90
Sumatra Tano Batak,2,9,9,8,9,9,1,94
Boru Batak Sumatra,2,9,8,9,9,8,1,94
Sumatra Gayo King Mandheling,3,9,9,8,9,8,1,93
Huta Raja Natural,1,1,1,1,1,1,1,93
Sumatra Pantan Musara,2,9,9,8,9,8,1,93
ASOPCAFA Colombia,2,9,8,8,8,8,1,91
Natural Burundi Nemba,1,9,8,9,9,7,1,92
Ka’u Champagne Natural,1,9,9,9,9,8,1,94
Monarch Gesha,2,9,9,9,9,8,1,94
Puna Barrel-Aged,2,9,8,9,9,8,1,93
Kona Peaberry,2,9,8,9,9,8,1,93
Laura’s Reserve SL-28,2,9,9,8,9,8,1,93
Ka’u Natural,2,9,9,8,9,8,1,93
Maui Kupa’a Orange Bourbon,2,9,9,8,9,8,1,93
Honey Typica,2,9,8,8,9,8,1,92
Ka’u Typica Natural,2,9,8,8,9,8,1,92
Estate-Grown Mamo,3,8,8,8,9,7,1,90
Australian Blend Espresso,2,9,1,8,9,9,10,95
Colombian Supremo,4,8,8,8,9,7,1,90
Colombian Supremo,4,7,7,8,8,7,1,87
Rwandan,4,7,7,8,8,7,1,87
Colombia Las Joyas: Fidencio Martinez Lot,2,9,8,9,8,7,1,91
Colombia Tolima Monteverde Estate Natural Wush Wush,3,9,8,9,10,8,1,94
Ethiopia Oromia Guji Washed,2,9,9,9,9,8,1,94
Yemen Matari,3,9,8,9,9,8,1,93
Crema de Dolce Espresso,2,8,1,9,9,8,9,93
Espresso Classico,3,9,1,8,9,8,9,93
Ace Espresso,2,9,1,8,9,8,9,93
Old Crow Cuppa Joe,3,9,1,8,9,8,9,93
Single-Origin Colombian Medium Roast,1,7,6,7,7,7,1,84
Ethiopia Sidamo Sasaba,2,9,8,8,9,8,1,92
Zambia Kateshi Natural Process,2,8,8,9,9,8,1,92
Ethiopia Gedeb Worka Sakaro,2,9,9,9,9,9,1,95
La Belleza Colombia,2,9,9,9,9,8,1,94
Colombia Pink Bourbon,2,9,9,9,9,8,1,94
Crystalina,2,9,9,9,9,8,1,94
Fruit Adventure Espresso Blend,2,9,1,8,8,7,8,90
Nuts Espresso Blend,4,8,1,8,8,7,8,89
Kenya Kiambu Gititu AA,2,9,9,9,9,8,1,94
Hawaiian Kona 100%,3,9,8,9,9,8,1,93
Guatemala Finca El General BlackLand Lot,3,9,1,8,8,8,9,92
Ninety Plus Gesha Estates JBC Custom Lot #252,2,9,1,9,10,8,1,94
La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,2,9,9,9,10,9,1,96
Suyusama Colombia,2,9,8,8,9,8,1,92
ASOPCAFA Espresso,2,9,1,8,8,8,8,91
Rukera Espresso,2,10,1,9,10,9,9,97
Colombia Pink Bourbon El Corazon,2,9,9,8,9,8,1,93
L2 Love Espresso Blend,2,9,1,8,9,8,9,93
Guatemala-Ethiopia Espresso Blend,2,9,1,8,9,8,9,93
Black Meow Blend,3,8,1,9,9,8,9,93
Karibu Espresso Blend,1,8,1,8,9,8,9,92
Sun Sun Sun Sun Sun Sun Sun Sun Sun Blend,1,9,1,9,9,8,8,93
Ethiopia Hambela 1 Organic Natural Alaka,2,9,8,8,9,8,1,92
Brazil Ibicoara Chapada Diamantina Natural,3,8,8,8,9,8,1,91
Costa Rica Coto Brus-La Amistad,2,8,8,8,8,8,1,90
Karimikui AA Kenya,1,9,9,9,9,7,1,93
Peru Antonio Regalado Diaz El Huyacan La Palma,2,9,9,8,9,8,1,93
Bella Carmona Guatemala,2,8,9,9,9,8,1,93
Peru Natural Jose Herrera Lot 21,2,9,8,9,9,8,1,93
Burundi Dukorerikawa Natural,2,9,8,9,9,8,1,93
Guatemala Acatenango Washed Lot 503 Espresso,3,8,1,9,9,8,9,93
Balance Blend,3,8,1,8,8,7,9,90
The Core Espresso,3,9,1,9,9,8,9,94
Espresso Mandarina,3,9,1,9,9,8,9,94
SOB Espresso,3,9,1,8,9,9,9,94
Ethiopia Yirgacheffe Chelelektu Natural,2,9,9,9,10,9,1,96
Kenya Kimaruri,2,9,9,9,9,8,1,94
Zambia Kateshi Natural,2,9,8,8,9,8,1,92
Kenya Handege,3,9,9,8,9,9,1,94
Kauai Estate Reserve Sun-Dried Typica,2,8,8,8,8,8,1,90
Colombia Valle del Cauca Cerro Azul Geisha,3,10,9,8,10,9,1,96
Ecuador Loja Clara Sidra Natural Taza Dorada #2,2,8,9,9,9,8,1,93
The Natural,2,9,1,8,9,7,9,92
Ethiopia Sidamo G4 Natural Espresso,2,9,1,8,9,8,9,93
Green-Tip Geisha,2,9,9,9,9,8,1,94
Saint Helena Island Peaberry,2,9,9,8,9,8,1,93
Philippines Sitio Naguey Natural,2,8,8,8,8,8,1,90
Ethiopia Guji Queen Honey,2,9,9,8,9,8,1,93
Ethiopia Civet Sidama Papilio Natural,2,9,8,9,9,8,1,93
Banco Gotete Ethiopia,2,9,9,8,9,8,1,93
Ethiopia Washed Guji Dimtu Espresso,4,9,1,8,9,8,9,93
Barichu Double,2,9,9,9,9,8,1,94
GA 400 Espresso,2,9,1,8,9,8,9,93
Papua New Guinea Timuza,2,9,8,8,9,8,1,92
Rukera Kenya,2,10,9,9,10,9,1,97
Trilogy,2,9,8,8,9,8,1,92
Kenya Kiambu Uklili AA,3,9,9,9,9,9,1,95
Ethiopia Guji Shakisso Natural Lot 24,2,9,8,9,9,9,1,94
Ethiopia Washed Yirgacheffe Nafasha Lot,2,9,9,9,9,8,1,94
La Avila SL28 El Salvador,2,9,9,8,9,8,1,93
El Salvador,3,9,9,9,9,8,1,94
Talquezalar El Salvador,2,8,9,8,9,8,1,92
Finca Kilimanjaro Natural,2,8,8,9,9,8,1,92
Finca San Antonio El Salvador,1,9,8,8,9,8,1,92
Mario Aguilar Grand Cru El Salvador,3,8,8,8,9,8,1,91
José Flores El Salvador Natural,3,8,8,8,9,8,1,91
Cup of Excellence Rwanda Champion,7,9,1,8,9,9,9,94
Ethiopia Yirgacheffe Worka Gotiti Natural,2,9,8,9,9,8,1,93
Cold-Drip Blend “Dionysus”,3,9,8,8,9,8,1,92
Ethiopia Kayon Mountain Natural,3,9,8,9,9,9,1,94
Ethiopia Natural Yirgacheffe Blue Donkey Lot,2,9,9,9,9,8,1,94
Guatemala Guayabales Single-Origin Espresso,3,8,1,9,9,8,9,93
Kenya Chania Estate,3,9,8,8,9,8,1,92
Guatemala Los Santos,2,9,8,9,9,7,1,92
Geisha Village Auction Lot #11,2,9,9,9,9,8,1,94
Panama Finca Kalithea Natural Geisha,2,9,9,9,10,9,1,96
Panama Hacienda La Esmeralda Super Mario 6 Geisha,2,9,9,9,9,9,1,95
Panama Geisha Alto Jaramillo,2,9,9,9,9,8,1,94
Colombia Laderas del Tapias Estate Natural Geisha,2,9,9,9,9,9,1,94
Gesha Village Natural Lot #19,2,9,9,9,9,8,1,94
Gesha Village 1931 Lot 27,2,9,9,9,9,8,1,94
Ethiopia Guji Girma Natural,2,9,8,8,9,8,1,92
Ethiopia Limu Lema Edeto,2,8,8,8,8,8,1,90
Ethiopia Sidamo Gora Kone,2,9,9,8,9,9,1,94
Classic Nine Espresso,4,8,1,8,8,8,9,91
Espresso Blend No. 10,4,8,1,8,7,7,8,88
Kebele Village Espresso,2,9,1,9,9,8,9,94
Kebele Village Ethiopia,2,9,9,8,9,8,1,93
D31 The New Life,2,9,1,8,9,7,9,92
Panama Finca San Sebastian,2,9,9,9,9,8,1,94
Rwanda Nyarusiza Station,2,9,8,9,9,8,1,93
Murang’a Kenya,2,8,9,9,9,8,1,93
Murang’a Kenya Espresso,2,9,1,8,9,8,9,93
Coffea Diversa Cioiccie,2,9,9,8,9,7,1,92
Yirgacheffe Gedeb G1 Natural,1,9,9,9,9,8,1,94
Guatemala San Cristobal,2,8,8,8,9,8,1,91
Peru Paltachayoc,3,8,8,8,9,8,1,91
Ethiopia Sidama Naia Bomb Natural Vertical Reserve,2,9,9,8,9,8,1,93
Hernan Zuniga Ecuador,2,9,9,8,9,8,1,93
Ethiopia Guji Uraga,2,9,8,9,9,8,1,93
Kenya Gakundu FCS Kamviu Wet Mill,2,9,9,9,9,8,1,94
TMC SB Blend Espresso,4,9,1,8,8,8,9,92
Rukira Kenya,2,9,9,9,9,8,1,94
Nayo Ovalle Guatemala,1,9,8,8,9,8,1,92
Gesha Village Lot #85 Natural,2,9,9,9,9,9,1,95
Ethiopia Natural Yirgacheffe Banko Gotiti,2,9,9,9,9,8,1,94
Guatemala Washed Finca El General Pache M-Plus Espresso,3,9,1,8,9,8,9,93
Guatemala Washed Finca El General Pache,2,9,8,8,9,8,1,92
Guatemala Washed Finca El General Lot Summer End Espresso,3,8,1,8,9,8,9,92
Colombia La Esperanza Natural XO,3,9,8,8,9,8,1,92
Indonesia Sumatra Gayo Espresso,5,9,1,9,9,8,9,94
Ethiopia Limu Nano Challa Lot #10,2,9,9,9,9,8,1,94
Best of Panama GNEP-01 Elida Geisha Green Tip Natural,2,9,10,9,10,9,1,97
Geisha XO,3,9,9,9,10,9,1,96
Colombia Finca La Maria Geisha Natural,2,9,9,9,10,9,1,96
Cordillera del Fuego Costa Rica Anaerobic,2,9,8,8,9,9,1,93
Ethiopia Anaerobic,2,9,8,9,9,8,1,93
Costa Rica Anaerobic,1,9,8,9,9,8,1,93
Colombia Finca El Paraiso Double Anaerobic Geisha,2,9,7,9,9,8,1,92
Ethiopia Yirgacheffe Adorsi,2,9,8,9,9,7,1,92
Ethiopia Sidama Naia Bombe Dry Ferment Vertical Reserve,2,9,9,8,9,8,1,93
Colombia Monteblanco Gesha Cold Fermentation,3,9,8,9,9,8,1,93
Costa Rica Brunca Finca Vista Passion Honey,3,9,8,9,9,8,1,93
Estate Grade House Blend Espresso,3,9,1,8,9,8,9,93
Chania Kenya,2,9,9,9,9,7,1,93
Kenya Kibirigwi Thunguri,2,9,9,8,9,8,1,93
Elida Estate Geisha Green-Tip Natural,2,10,10,9,10,9,1,98
Washed Kenya,3,9,9,9,9,9,1,95
Coffea Diversa Bourbon Rey Jamaica,2,9,8,9,9,8,1,93
Coffea Diversa Bourbon Rey Guatemala,2,9,9,8,9,8,1,93
Colombia Huila,1,8,8,8,9,8,1,91
Panama Hacienda La Esmeralda Super Mario Geisha,2,9,9,9,10,9,1,96
Tablon La Cima,2,8,8,8,9,8,1,91
Nicaragua Finca Idealista,2,9,8,8,9,8,1,92
Ethiopia Guji Gerbicho Natural,2,9,8,8,9,8,1,92
Panama Elida Natural Catuai,2,9,9,9,9,9,1,95
Cate Natural G5,2,9,1,9,9,9,9,95
Ethiopia Yirgacheffe GR1 Bedhatu Jibicho Washed,2,9,8,9,9,8,1,93
Kenya Nyeri Othaya Gura AA,2,9,9,8,9,8,1,93
Signature Blend,3,8,8,8,9,8,1,91
Ethiopia Konga Natural,2,9,8,9,9,8,1,93
Kenya Ndaroini,3,9,9,8,9,8,1,93
Harimau Tiger Sumatra,2,9,9,9,10,9,1,96
Gachami Kenya,2,9,9,9,9,8,1,94
Twisted V.5,3,9,1,8,9,8,9,93
Finca Santa Isabel Guatemala,2,8,8,8,8,8,1,90
Ethiopia Natural “Phoenix”,3,9,1,9,9,9,9,95
Costa Rica SL-28 Yellow Honey Espresso,4,9,1,8,10,8,10,95
Burundi Washed “Crystal”,4,9,1,9,9,8,8,93
Ethiopia Natural Gedeb Violent Andromeda,4,9,1,8,9,8,9,93
Washed Geisha Hacienda La Esmeralda Jaramillo Special,2,10,10,9,10,8,1,97
Espresso Blend Classic No. 1,3,9,1,8,9,8,9,93
Ethiopia Hambela Natural,2,8,8,8,9,8,1,91
Panama Perci Geisha Natural,2,10,8,9,10,9,1,96
Cordillera del Fuego Costa Rica Anaerobic,2,9,9,8,9,8,1,93
Kenya Kiandu Peaberry,2,9,9,9,9,9,1,95
Ethiopia Idido Wegida,2,9,8,9,9,8,1,93
Kenya Kirinyaga,2,9,8,9,9,8,1,93
Ethiopia Herfusa Single Variety Natural,2,9,9,8,9,8,1,93
Mbeguka Kenya,2,9,9,8,9,8,1,93
Guatemala La Folie,2,8,8,9,9,8,1,92
Ethiopia Yirgacheffe Washed,3,9,8,8,9,7,1,91
Costa Rica Farmer’s Project,2,9,8,8,8,7,1,90
Organic Unicorn Espresso Blend,4,8,1,8,8,7,9,90
Guatemala Concepción Buena Vista,2,8,8,8,8,8,1,90
Ethiopia Yirgacheffe Aricha G1,2,9,9,8,9,8,1,93
El Salvador Las Mercedes Pacamara Honey,1,9,8,9,9,8,1,93
Sumatra Raja Harimau Lintong Espresso,3,9,1,9,10,8,10,96
Panama Esmeralda Geisha Portón Oro Yeast,2,9,9,9,9,8,1,94
Kenya Kiambu Peaberry Uklili 1904 Lot,3,9,9,9,9,8,1,94
Kenya Kiambu AB Uklili 1903 Lot,2,9,9,9,9,8,1,94
Ethiopia Natural Yirgacheffe Blue Donkey Lot #2,2,9,9,9,9,8,1,94
Ethiopia Nansebo Worka,2,9,9,9,9,9,1,95
Panama Elida Geisha Natural 1029,2,10,9,9,10,9,1,97
Port of Mokha Yemen JSP,3,10,9,9,10,9,1,97
Ceri Ceri Meriah Coffee,2,9,9,9,9,8,1,94
Alamendah Patuha Coffee,3,9,9,9,9,8,1,94
Americano Blend Espresso,3,8,1,8,8,8,8,90
Puna Champagne Natural Anaerobic,2,9,8,9,9,8,1,93
Costa Rica Las Lajas Red Honey,3,9,8,9,9,8,1,93
Refisa Ethiopia,2,9,9,8,9,8,1,93
La Lindura Colombia,2,9,8,8,9,8,1,92
Butare Huye of Rwanda,3,9,8,8,9,7,1,91
La Finca Medina of Guatemala,3,9,8,8,8,7,1,90
Peaberry Blend,3,8,7,8,8,7,1,88
Holiday Blend,2,9,9,9,9,8,1,94
2019 Celebration,3,9,9,9,9,8,1,94
Holiday Blend,2,9,9,8,9,8,1,93
Holiday Sweet Blend,3,9,8,9,9,8,1,93
Winter Solstice Blend,2,8,8,9,9,8,1,92
Festivity Blend,3,9,8,8,9,8,1,92
Holiday Blend,3,9,8,8,9,8,1,92
Invincible Sun God,2,9,8,8,9,8,1,92
Wonderland Winter Solstice Holiday Blend,2,8,8,8,9,8,1,91
Dark Roast Holiday Blend,5,8,7,7,8,6,1,86
Ethiopia Yirgacheffe Espresso Mekuriya Gobena,3,9,1,8,9,8,9,93
Ethiopia Shakiso,2,9,8,9,9,8,1,93
Madagascar Yellow Bourbon Santatra Coop,2,9,8,8,9,8,1,92
Giusto Organic Espresso Blend,3,9,1,9,9,8,9,94
Finca La Montana Costa Rica,3,9,8,9,9,7,1,92
Berg Wu Championship Selection Yirgacheffe G1 Natural Lot 19/01,2,9,9,9,9,9,1,95
Ethiopia Mulegeta Sintayehu Washed,2,9,9,9,9,8,1,94
Thai-Laos Espresso Blend (A4+A4.5+A5),3,9,1,8,9,8,9,93
Ethiopia Sidamo Bensa Asefa Dukamo Washed,2,9,9,8,9,8,1,93
Ecuador Eugenioides Natural Finca Perla Negra,2,9,8,9,9,9,1,94
Panama Esmeralda Geisha Natural,2,9,9,9,10,9,1,96
Ethiopia Suke Quto Honey,2,9,9,9,9,9,1,95
Single-Origin Espresso,3,9,1,8,9,8,9,93
Kenya FSC AB,3,9,9,9,9,8,1,94
Colombia Pink Bourbon,2,9,8,8,9,8,1,92
Guatemala Acatenango Geisha,2,9,8,8,9,8,1,92
Kenya Kiambu “Summer Love”,3,8,8,8,9,8,1,91
El Salvador Pacamara Honey,3,8,8,8,9,7,1,90
Latte Espresso,4,7,1,6,7,6,7,83
Blend Espresso,4,7,1,7,7,7,7,85
Ethiopia Sidamo,3,9,8,8,9,8,1,92
Colombia,3,8,8,9,9,7,1,91
Kenya Zuri,3,8,8,8,9,7,1,90
Guatemala Dark Roast FTO,4,8,7,9,9,7,1,90
Honduras Atanacio Nolasco,3,8,8,8,8,8,1,90
Ethiopia Sidamo,2,8,8,8,8,8,1,90
Sidamo Suke Quto,3,8,8,8,9,7,1,90
Guatemala (from bulk bin),3,8,7,8,9,7,1,89
Colombia,4,8,7,8,9,7,1,89
Colombia,3,8,7,8,8,7,1,88
100% Guatemalan,4,8,7,7,8,7,1,87
Sumatra Dark,5,7,7,8,8,7,1,87
100% Kona Bourbon Pointu Laurina,2,9,9,9,9,9,1,95
Panama Hacienda La Esmeralda Geisha Natural Special Auction ES-N-2,2,9,9,9,9,8,1,94
Lian House Blend Espresso,3,8,1,8,8,8,8,90
Ethiopia Guji Uraga Wolisho Natural,2,8,8,9,8,8,1,91
Lian House Blend,3,8,8,8,8,8,1,90
Guatemala Maragogype La Providencia,2,9,9,8,9,8,1,93
El Salvador Finca El Cerro Natural,2,9,9,9,9,8,1,94
Halo Hartume Espresso,2,9,1,9,9,8,9,94
Tanzania AA Karatu Estate,2,9,9,8,9,8,1,93
Ethiopia Yetagesu Bulebula,2,9,9,8,9,8,1,93
Ethiopia Guji Darii Kojowa Grade 1,2,9,8,8,9,8,1,92
Kenya Kevota Makengi,3,8,8,9,9,8,1,92
Ethiopia Reko Estate Yirgacheffe,2,9,8,8,9,8,1,92
H Coffee Blend D02,2,9,9,8,9,8,1,93
H Coffee Blend F03,2,8,8,8,9,8,1,91
Le Roi Espresso,3,8,1,8,8,8,8,90
Ethiopia Sidama Anaerobic,2,9,9,9,9,8,1,94
Kenya Kiri Peaberry,2,9,9,9,9,8,1,94
Kenya Nyeri AA Ichuga,3,9,8,8,9,8,1,92
Wolde Hirbe Natural Espresso,2,8,1,8,9,8,9,92
Hacienda La Esmeralda Geisha Panama,2,8,8,8,9,8,1,91
San Sebastian Colombia,2,8,8,9,9,8,1,92
La Coipa Peru,2,8,8,8,8,8,1,90
Ethiopia Violent Andromeda Natural,3,9,9,9,9,8,1,94
Kenya Nyeri Yerihar AA Lot 1901 Espresso,2,9,1,9,9,9,9,95
Costa Rica Aris Red Honey Lot 1901 Espresso,3,9,1,9,9,9,9,95
Idido,2,9,9,8,9,8,1,93
Ethiopia FTO,2,9,8,8,9,8,1,92
Colombia San Pascual Natural,2,8,8,9,9,8,1,92
Kenya Kiambu AB Uklili 1905 Lot,2,9,9,9,9,8,1,94
Birambo Village DR Congo,2,8,8,8,9,8,1,91
Birambo Village DR Congo Espresso,2,8,1,8,8,8,8,90
KonAroma Direct Trade Kona,3,9,8,8,9,8,1,92
Costa Rica Tarrazu Hacienda La Pradera,3,8,8,8,9,8,1,91
Honeymoon Espresso,4,9,1,8,9,8,8,92
Zoom Espresso,3,9,1,8,9,8,9,93
Zenith Blend,4,8,1,8,9,8,9,92
Elida Natural Dragonfly Lot,2,9,9,9,9,9,1,95
Organic Ethiopia Yirgacheffe FTO,2,9,9,8,9,8,1,93
Guatemala Maravillas,2,8,7,8,8,7,1,88
Espresso Supremo,4,8,1,8,8,8,8,90
Kona Laurina Pointu,2,9,9,9,9,8,1,94
Dadaocheng Garden Blend Espresso,3,9,1,9,9,8,9,94
Kona K7,2,8,8,9,8,8,1,91
Kona SL34,2,8,8,8,8,8,1,90
Ethiopia Dimtu,2,9,9,9,9,9,1,95
Kona Double-Washed Black Rock Farm,2,9,8,8,9,8,1,92
Peru Aproselva,3,8,8,8,8,8,1,90
La Naranja Honduras,2,9,8,8,9,8,1,92
Mexico FTO,3,8,8,8,8,8,1,90
Ethiopia Wush Wush,1,10,9,9,10,8,1,96
Ethiopia Hassen Ware Akrabi,2,9,9,9,9,8,1,94
Ethiopia Sidama Bombe Natural,3,9,9,8,9,8,1,93
Ethiopia Adame Garbota,2,9,8,9,9,8,1,93
Rwanda Bumbogo,2,9,8,9,9,8,1,93
Ethiopia Danse Mormora,2,9,8,8,9,8,1,92
Ethiopia Keramo Washed,2,9,8,8,9,8,1,92
Congo Boza,2,8,8,9,9,8,1,92
Kenya Muiri Estate,2,8,8,9,9,8,1,92
Costa Rica Luis Campos Anaerobic,2,9,9,9,9,8,1,94
Colombia Granja La Esperanza Tres Dragones,2,9,9,9,9,8,1,94
Kenya Wanjengi AA,3,9,8,8,9,8,1,92
Colombia Finca La Loma Microlot,2,9,9,9,9,8,1,94
Aged Sumatra Espresso,2,7,1,8,8,7,8,88
Dukunde Kawa Rwanda,2,9,8,9,9,8,1,93
Buzira Burundi Natural,2,9,8,8,9,8,1,92
Ka’u Yellow Caturra Champagne Natural,2,9,9,8,9,8,1,93
Burundi Kibingo,1,9,8,8,9,8,1,92
Magnolia Blend,2,9,8,9,9,8,1,93
Rwanda Gatare Namasheke,2,9,8,9,9,8,1,93
Indestec El Paraiso,2,9,9,9,9,8,1,94
Monteblanco Cold Fermentation Geisha,2,9,9,9,9,8,1,94
Funky Chicken,3,9,9,9,9,8,1,94
Dirty South,3,9,8,9,8,7,1,91
Ten Anniversary Blend,2,9,8,9,9,8,1,93
4&20 French Roast,3,9,8,9,8,7,1,92
Seasonal Ethiopia Yirgacheffe Natural,1,9,8,8,9,7,1,91
Floyd Farmhouse Blend,2,8,8,8,8,8,1,90
Yemen Al-Obbarat,2,9,9,9,9,9,1,95
Ecuador Quilanga Typica Yeast Fermentation,2,9,9,9,9,8,1,94
S.O. Espresso Brazil Fazenda Cachoeira Yellow Bourbon,3,8,8,8,8,8,1,90
Rwanda Hingakawa Women’s Co-op,2,9,8,9,9,8,1,93
DR Congo Muungano Co-op South Kivu,2,9,9,8,9,8,1,93
Ethiopia Natural Guji PB JackyLai Lot,2,9,9,9,9,8,1,94
Rwanda Kiroero,2,9,8,9,9,8,1,93
Kakalove Ethiopia Natural Yirgacheffe Boyrfi,2,9,8,9,9,8,1,93
Rus & Alla Ka’u,2,9,8,8,9,8,1,92
Colombia Geisha,2,9,9,8,9,8,1,93
Capital Cold Brew,3,9,8,8,9,8,1,92
Koffee Kool 001 (KK001),3,9,1,8,8,7,9,91
Colombia Finca Lord Baltimore Papayo,1,9,9,9,9,8,1,94
Hawai’i Ka’u Typica Anaerobic Washed,2,9,8,9,9,8,1,93
Lekali Estate Reserve Nepal,2,9,8,8,9,8,1,92
"Gary & Valerie, Kona",3,8,8,9,9,8,1,92
"Salvador, Kona",3,8,8,8,9,8,1,91
Mocha Java,3,9,9,9,10,9,1,96
Ethiopia Shantawene Washed,2,9,9,9,10,9,1,96
Organic Suke Quto Ethiopia,2,9,9,9,10,8,1,95
Kenya Tuikit Factory AA,2,9,9,9,9,9,1,95
Karen J Kona Red Bourbon,2,9,9,9,9,8,1,94
Abu Natural Panama Geisha,2,9,9,9,9,8,1,94
Sumatra Lintong Triple-Picked Reserve,2,9,8,9,9,8,1,93
Colombia Finca Las Margaritas Natural Sudan Rume,2,8,9,9,9,8,1,94
Ecuador Finca Carolina Sidra,2,9,9,9,9,8,1,94
Ethiopia Konga,3,9,9,9,9,8,1,93
Gesha Village Single-Variety Gesha Special Selection,2,9,9,9,9,8,1,94
DR Congo Muungano,2,9,8,9,9,8,1,93
Colombian,2,9,8,9,9,8,1,93
Suyusama Colombia,2,9,8,9,9,8,1,93
Ethiopia BergWu SP Series: Wuri Red Cherries 19/EXP02,3,9,8,8,9,8,1,92
Kenya AB Top,2,9,9,8,9,8,1,93
Ka’u Giant Maragogipe,2,9,9,9,9,8,1,94
Wood Valley Single Estate Ka’u,2,9,8,9,9,8,1,93
Kona Maragogype,3,9,8,9,9,8,1,93
Organic Ethiopia Agaro-Nano Challa,2,9,9,9,9,8,1,94
Kerinci Palompek Sumatra,2,9,9,9,9,8,1,94
Guatemala Vista Al Bosque,3,9,8,9,9,8,1,93
Session Blend,2,9,8,8,9,8,1,92
Peaberry Medium Roast,3,9,8,8,9,8,1,92
Lover’s Quarrel,3,7,7,7,7,7,1,85
Kenya Embu Gicherori Factory AA Top,2,9,9,9,10,9,1,95
9 Bar,2,8,8,9,9,8,1,92
